Protein_ID	Probability	Type
sp|Q9HUU7|MDDA_PSEAE	0.003722459	Mesophilic
sp|Q02E25|RPOZ_PSEAB	0.003866434	Mesophilic
sp|Q9HZ66|SERC_PSEAE	0.094011605	Mesophilic
sp|Q02GB1|OBG_PSEAB	0.02275154	Mesophilic
sp|Q9HVR0|PXPA3_PSEAE	0.009704918	Mesophilic
sp|Q9I433|PHNX_PSEAE	0.042937815	Mesophilic
sp|Q02KR3|RRAAH_PSEAB	0.49302587	Mesophilic
sp|Q59646|NORC_PSEAE	0.21738377	Mesophilic
sp|P13794|PORF_PSEAE	0.008158803	Mesophilic
sp|Q9I4U2|QUIP_PSEAE	0.0038771033	Mesophilic
sp|Q59654|PYRF_PSEAE	0.00067055225	Mesophilic
sp|Q9HYX7|RDGC_PSEAE	0.0057712495	Mesophilic
sp|P24559|PILT_PSEAE	0.03986451	Mesophilic
sp|Q9I4X2|PQSB_PSEAE	0.028238922	Mesophilic
sp|Q9HXY6|LPXD_PSEAE	0.0032788515	Mesophilic
sp|P24474|NIRS_PSEAE	0.048969	Mesophilic
sp|Q51487|OPRM_PSEAE	2.356951e-05	Mesophilic
sp|Q05098|PFEA_PSEAE	0.025641352	Mesophilic
sp|P52002|MEXB_PSEAE	0.026651353	Mesophilic
sp|S0HPF7|PILY1_PSEAW	0.00044885278	Mesophilic
sp|P20586|PHHY_PSEAE	0.30134368	Mesophilic
sp|Q9I6J9|AGUA_PSEAE	0.0052241385	Mesophilic
sp|Q9I2A0|LIUE_PSEAE	0.117531	Mesophilic
sp|P77915|HEMN_PSEAE	0.00090044737	Mesophilic
sp|Q9HZZ2|EFP_PSEAE	0.15300265	Mesophilic
sp|Q9HUW6|CTPL_PSEAE	0.00016668439	Mesophilic
sp|Q00517|GSPJ_PSEAE	0.0068921745	Mesophilic
sp|Q51366|GM4D_PSEAE	0.009617388	Mesophilic
sp|Q01725|LIFO_PSEAE	0.00418821	Mesophilic
sp|Q9HXE3|DAUA_PSEAE	0.009984791	Mesophilic
sp|Q00516|GSPI_PSEAE	0.004642755	Mesophilic
sp|Q9HTQ0|DADA1_PSEAE	0.122051924	Mesophilic
sp|O30508|ARUC_PSEAE	0.06573361	Mesophilic
sp|Q9HZY8|EST_PSEAE	0.092981964	Mesophilic
sp|Q9HUK7|FIMW_PSEAE	0.0022212863	Mesophilic
sp|Q9I0N5|3MDO_PSEAE	0.01442647	Mesophilic
sp|P14532|CCPR_PSEAE	0.0006325245	Mesophilic
sp|Q9HVT9|GATC_PSEAE	0.008508414	Mesophilic
sp|Q9HXE4|DAUB_PSEAE	0.0018823445	Mesophilic
sp|Q9HZP5|ETFD_PSEAE	0.29039747	Mesophilic
sp|Q51344|DHAS_PSEAE	0.011668354	Mesophilic
sp|Q9I3S1|BDLA_PSEAE	0.0016075969	Mesophilic
sp|P95458|DCUP_PSEAE	0.011422068	Mesophilic
sp|Q9I0E0|TSE2_PSEAE	0.13467711	Mesophilic
sp|Q9I6J1|SPUD_PSEAE	0.41575918	Mesophilic
sp|Q02M20|Y3584_PSEAB	0.010033548	Mesophilic
sp|Q9HX91|Y3922_PSEAE	0.3166911	Mesophilic
sp|Q9XC60|WBJC_PSEA1	0.49565047	Mesophilic
sp|Q01609|Y2218_PSEAE	0.025478482	Mesophilic
sp|Q9I3A4|Y1618_PSEAE	0.00061258674	Mesophilic
sp|Q9I6B4|THIG_PSEAE	0.046302795	Mesophilic
sp|Q51508|PCHA_PSEAE	0.0054106414	Mesophilic
sp|Q9HWA7|PPRA_PSEAE	0.00047907233	Mesophilic
sp|Q9HXH0|SYV_PSEAE	0.013536483	Mesophilic
sp|G3XD61|WBPI_PSEAE	0.03500417	Mesophilic
sp|P95480|PRNA_PSEFL	0.022931248	Mesophilic
sp|Q84HF5|KMO_PSEFL	9.670736e-05	Mesophilic
sp|P95483|PRND_PSEFL	0.030774862	Mesophilic
sp|Q8L1B1|SYI2_PSEFL	0.12664592	Mesophilic
sp|B3PDE5|CE2B_CELJU	0.013157904	Mesophilic
sp|B3PGJ1|AGAL_CELJU	0.007822871	Mesophilic
sp|Q4KCY5|PLTF_PSEF5	0.05950123	Mesophilic
sp|Q9KGW3|NUOG_PSEFL	0.00068721175	Mesophilic
sp|P48841|GANA_CELJU	0.008242518	Mesophilic
sp|Q3KC85|SFNG_PSEPF	0.09800291	Mesophilic
sp|Q4KFT4|Y1779_PSEF5	0.49800178	Mesophilic
sp|P56585|PYRB_PSEFA	0.0006904304	Mesophilic
sp|Q0K9H3|HBOH_CUPNH	0.00012785196	Mesophilic
sp|Q937N8|ACNA_CUPNE	0.091174275	Mesophilic
sp|P22318|HOXU_CUPNH	0.7047887	Thermophilic
sp|Q937P0|PRPB_CUPNE	0.000991255	Mesophilic
sp|Q0KBD2|DEND_CUPNH	0.013623774	Mesophilic
sp|Q0K843|SAUU_CUPNH	0.21232596	Mesophilic
sp|Q1LRY0|ICMF_CUPMC	0.0035785437	Mesophilic
sp|Q7BSH1|RHAM_RHILT	0.00010670292	Mesophilic
sp|Q02154|GLNA2_RHILP	0.12686825	Mesophilic
sp|Q9X5V3|ATCU_RHILV	0.0069210827	Mesophilic
sp|P42719|PYRE_RHILT	0.018732727	Mesophilic
sp|Q53079|PSB1_RHOER	0.026250362	Mesophilic
sp|Q53080|PSA1_RHOER	0.024484426	Mesophilic
sp|C0ZUQ6|DEOC_RHOE4	0.00039717555	Mesophilic
sp|P43492|THCB_RHOER	0.006316006	Mesophilic
sp|P43494|THCD_RHOER	0.0016027391	Mesophilic
sp|A0A0G3FWY4|AQDA1_RHOER	0.0012029409	Mesophilic
sp|P35107|LHB2_RHOPA	0.40628287	Mesophilic
sp|P60744|RL24_RHOPA	0.45767468	Mesophilic
sp|Q6N4U2|RL29_RHOPA	0.0006123781	Mesophilic
sp|Q6ND47|RBLL2_RHOPA	0.008599162	Mesophilic
sp|A0A1D3PCI9|METAS_RHOPL	0.00052830577	Mesophilic
sp|B3Q6P8|ECFG_RHOPT	0.0009987056	Mesophilic
sp|O07458|BADR_RHOPA	0.0027000308	Mesophilic
sp|Q6N4T6|RS10_RHOPA	0.027344227	Mesophilic
sp|Q6N4U6|RS14_RHOPA	0.348288	Mesophilic
sp|Q6N4U7|RS8_RHOPA	0.3830443	Mesophilic
sp|Q6N4R7|RL10_RHOPA	0.022471696	Mesophilic
sp|Q6ND68|RL19_RHOPA	0.7840117	Thermophilic
sp|Q6NDP1|RS1_RHOPA	0.11432943	Mesophilic
sp|Q6N4V6|RS11_RHOPA	0.0069996715	Mesophilic
sp|P04718|RBL2_RHORU	0.020899802	Mesophilic
sp|Q2RSU5|CUPIN_RHORT	0.028156608	Mesophilic
sp|Q2RXI1|ALD2_RHORT	0.02992019	Mesophilic
sp|P15013|ATPF_RHORU	0.0012095273	Mesophilic
sp|Q03132|ERYA2_SACER	1.1716838e-05	Mesophilic
sp|A4F7P5|ERYG_SACEN	0.04544449	Mesophilic
sp|A4F7P2|ERYC2_SACEN	0.0015164018	Mesophilic
sp|P11830|ACP_SACEN	0.0024298131	Mesophilic
sp|P16385|THTR_SACER	0.02692324	Mesophilic
sp|A4X982|MURL_SALTO	0.15067536	Mesophilic
sp|Q07WU7|FRDA_SHEFN	0.0038670301	Mesophilic
sp|Q9X5X4|HMRR_SINMW	0.42274854	Mesophilic
sp|O30807|MAO1_RHIME	0.048866987	Mesophilic
sp|G3XCN6|BETS_RHIML	0.24563798	Mesophilic
sp|Q92KZ3|AFR_RHIME	0.007859856	Mesophilic
sp|Q59750|BGAL_RHIML	0.03368646	Mesophilic
sp|O69787|BETC_RHIME	0.056150556	Mesophilic
sp|P25195|NODM_RHIML	0.2646731	Mesophilic
sp|O86464|FIXT_RHIME	0.005087197	Mesophilic
sp|Q9X576|CATE_RHIME	0.002870202	Mesophilic
sp|Q92RN7|DGOK_RHIME	0.0010122955	Mesophilic
sp|Q52880|CHEA_RHIME	0.0005622804	Mesophilic
sp|O54068|UDG_RHIME	0.016895533	Mesophilic
sp|Q82P90|IABF_STRAW	0.068807065	Mesophilic
sp|Q82HS2|MDH_STRAW	0.0046221614	Mesophilic
sp|Q827U4|PIPS_STRAW	0.051835716	Mesophilic
sp|Q9KL03|ATDA_VIBCH	0.92132217	Thermophilic
sp|A5F120|NHAD_VIBC3	0.041191548	Mesophilic
sp|A5F5Y4|NQRF_VIBC3	0.7838429	Thermophilic
sp|Q9KS45|VGRG1_VIBCH	0.00086158514	Mesophilic
sp|Q9KLR1|CGAP1_VIBCH	0.005922556	Mesophilic
sp|A5F5X0|NQRB_VIBC3	0.053361475	Mesophilic
sp|A5F5Y7|NQRC_VIBC3	0.026527137	Mesophilic
sp|P0C6E9|NANH_VIBCH	0.0016162097	Mesophilic
sp|Q9KPM0|DEOD1_VIBCH	0.2898857	Mesophilic
sp|P22359|HTPG_VIBCH	0.03632778	Mesophilic
sp|Q9KKS5|NAGB_VIBCH	0.057763785	Mesophilic
sp|Q9KVK6|CDGJ_VIBCH	0.0206666	Mesophilic
sp|Q9KUA9|GSPK_VIBCH	0.0009860694	Mesophilic
sp|Q9KPM2|SERB_VIBCH	0.0057644844	Mesophilic
sp|C3LUP3|PRTV_VIBCM	0.007427931	Mesophilic
sp|A5F2S8|RNFG_VIBC3	0.0002220571	Mesophilic
sp|Q9KS67|CRY2_VIBCH	0.00023660064	Mesophilic
sp|Q9KMG4|HIGA1_VIBCH	0.17970374	Mesophilic
sp|A0A0H3AJF5|MNEA_VIBC3	0.078849554	Mesophilic
sp|Q9KTJ4|GMHBB_VIBCH	0.023542434	Mesophilic
sp|P45780|GSPF_VIBCH	0.010916352	Mesophilic
sp|P24153|HAPT_VIBCH	0.012999505	Mesophilic
sp|P0C6C8|FUR_VIBCH	0.38470072	Mesophilic
sp|A5F850|FABA_VIBC3	0.058754742	Mesophilic
sp|Q9KS43|TSEL_VIBCH	0.019128054	Mesophilic
sp|P23024|TCPA_VIBCL	0.0051941574	Mesophilic
sp|Q9K2Y1|TOLC_VIBCH	0.003757745	Mesophilic
sp|P24003|TOXS_VIBCH	0.004431486	Mesophilic
sp|Q9KKP2|RIBB_VIBCH	0.00039499998	Mesophilic
sp|Q9KN41|TSIV3_VIBCH	0.022437304	Mesophilic
sp|A5F2S7|RNFE_VIBC3	0.051098704	Mesophilic
sp|Q9KNX6|SLYD_VIBCH	8.959377e-05	Mesophilic
sp|P0C6D5|TCPR_VIBCH	0.93914425	Thermophilic
sp|P46072|FRA1_ALIFS	0.006569445	Mesophilic
sp|Q5E1G4|M1PD_ALIF1	0.19846535	Mesophilic
sp|Q99289|HLT_VIBPA	0.038373023	Mesophilic
sp|P96169|SGLT_VIBPH	0.39958122	Mesophilic
sp|Q6WHE1|CAPSH_BPKVM	0.0011308193	Mesophilic
sp|Q87J97|BCCT4_VIBPA	0.078894466	Mesophilic
sp|Q87MV2|Y2129_VIBPA	0.056369334	Mesophilic
sp|Q8DEM0|DAPB_VIBVU	0.004101157	Mesophilic
sp|P19247|VVHA_VIBVU	0.08337349	Mesophilic
sp|Q8PP26|APAG_XANAC	0.0039664507	Mesophilic
sp|Q8P8J2|AOTC_XANCP	0.004181385	Mesophilic
sp|Q4UU85|RPFG_XANC8	0.053664148	Mesophilic
sp|P23355|PTFBC_XANCP	0.019551426	Mesophilic
sp|Q8P3J4|CELAP_XANCP	0.0034458935	Mesophilic
sp|Q8P6V8|METXS_XANCP	0.04644373	Mesophilic
sp|P45875|GST_XANCP	0.0002246499	Mesophilic
sp|P31736|GSPH_XANCP	0.0024344325	Mesophilic
sp|A0A0H2XEA6|HO_XANC8	0.004881948	Mesophilic
sp|P29040|XPSN_XANCP	0.0027737021	Mesophilic
sp|Q4UQD0|Y3703_XANC8	0.006263554	Mesophilic
sp|Q87E25|PIYH2_XYLFT	0.036262304	Mesophilic
sp|P40290|YSCN_YEREN	0.031194746	Mesophilic
sp|A1JM47|PAGP_YERE8	0.031059325	Mesophilic
sp|P16945|YOPN_YEREN	0.026445776	Mesophilic
sp|P74981|HMUV_YEREN	0.0021235645	Mesophilic
sp|A1JTP8|COBT_YERE8	0.0009087622	Mesophilic
sp|P0C2N2|YSCY_YEREN	0.00016352534	Mesophilic
sp|P0C2N4|YSCX_YEREN	0.00079247355	Mesophilic
sp|P27461|YLPA_YEREN	0.0054095984	Mesophilic
sp|Q01249|YSCH_YEREN	0.019772261	Mesophilic
sp|Q8ZG77|OMPA_YERPE	0.006717354	Mesophilic
sp|Q8ZC05|XGPT_YERPE	0.28302968	Mesophilic
sp|P17778|YOPM_YERPE	0.12134719	Mesophilic
sp|Q8ZAR2|PUR2_YERPE	0.01484549	Mesophilic
sp|Q8ZBK7|PANC_YERPE	0.021060437	Mesophilic
sp|Q7CG46|LSRG_YERPE	0.21333325	Mesophilic
sp|Q8ZG78|MATP_YERPE	0.020120919	Mesophilic
sp|P0C7U7|LCRV_YERPE	0.3135207	Mesophilic
sp|Q8ZGC6|LOLA_YERPE	0.0009306371	Mesophilic
sp|Q56991|HMUT_YERPE	0.0005443096	Mesophilic
sp|Q74Y93|TRML_YERPE	0.019446671	Mesophilic
sp|Q66DQ2|APT_YERPS	0.37260318	Mesophilic
sp|Q06114|YOPB_YERPS	0.04550013	Mesophilic
sp|Q01578|GNL_ZYMMO	0.08509013	Mesophilic
sp|Q5NP67|HPNC_ZYMMO	0.0024186373	Mesophilic
sp|Q9Y9L0|TDXH_AERPE	0.5622391	Thermophilic
sp|Q9YFY3|SYTE_AERPE	0.8395753	Thermophilic
sp|Q9YAX7|RL7A_AERPE	0.99696964	Thermophilic
sp|Q9Y9I9|GSA_AERPE	0.9881636	Thermophilic
sp|Q9YBF1|ENDA_AERPE	0.7892462	Thermophilic
sp|Q9YAZ5|PELO_AERPE	0.75051135	Thermophilic
sp|Q9YDV3|TYW3_AERPE	0.91864425	Thermophilic
sp|O67911|CATNT_AQUAE	0.99683535	Thermophilic
sp|O66663|KDTA_AQUAE	0.9992701	Thermophilic
sp|O67931|SQRD_AQUAE	0.8851081	Thermophilic
sp|O67883|THIL_AQUAE	0.96892905	Thermophilic
sp|O67161|G3P_AQUAE	0.878049	Thermophilic
sp|O66728|AATNT_AQUAE	0.9999822	Thermophilic
sp|O67069|RNPH_AQUAE	0.5231475	Thermophilic
sp|O66608|PURK_AQUAE	0.9990369	Thermophilic
sp|O66552|RSME_AQUAE	0.99758184	Thermophilic
sp|O66523|RS16_AQUAE	0.99968296	Thermophilic
sp|O67566|RS8_AQUAE	0.99953103	Thermophilic
sp|O67759|RL1_AQUAE	0.95819527	Thermophilic
sp|O66949|PUR2_AQUAE	0.99938375	Thermophilic
sp|O67034|MINC_AQUAE	0.9999598	Thermophilic
sp|O67575|BIOW_AQUAE	0.9991559	Thermophilic
sp|P59799|FER5_AQUAE	0.7166917	Thermophilic
sp|O66742|DTD_AQUAE	0.9985605	Thermophilic
sp|O67010|TRM1_AQUAE	0.99662876	Thermophilic
sp|O66479|TRMB_AQUAE	0.9950304	Thermophilic
sp|O67517|Y1575_AQUAE	0.98841965	Thermophilic
sp|O67784|Y1974_AQUAE	0.9999275	Thermophilic
sp|O67776|Y1964_AQUAE	0.98417765	Thermophilic
sp|O66811|UBIX_AQUAE	0.9977803	Thermophilic
sp|O29867|AGLB3_ARCFU	0.9568427	Thermophilic
sp|O30124|NPD2_ARCFU	0.86353153	Thermophilic
sp|O29976|DIPPS_ARCFU	0.9506953	Thermophilic
sp|O30245|RIO2_ARCFU	0.96289533	Thermophilic
sp|O29370|FNO_ARCFU	0.3432267	Mesophilic
sp|O29904|NQOR_ARCFU	0.8064252	Thermophilic
sp|O29362|ENDA_ARCFU	0.9959773	Thermophilic
sp|O28682|NREB_ARCFU	0.9009664	Thermophilic
sp|O29786|GGR_ARCFU	0.9279726	Thermophilic
sp|O29313|GLN1A_ARCFU	0.69335735	Thermophilic
sp|O29748|HMED_ARCFU	0.98233044	Thermophilic
sp|O28076|FTR_ARCFU	0.80403066	Thermophilic
sp|O29757|RRP41_ARCFU	0.8126224	Thermophilic
sp|O29759|SDO1_ARCFU	0.994311	Thermophilic
sp|O28758|Y1514_ARCFU	0.9948447	Thermophilic
sp|O29206|TRMY_ARCFU	0.1914039	Mesophilic
sp|O29421|PELO_ARCFU	0.99793106	Thermophilic
sp|O28751|Y1521_ARCFU	0.9951205	Thermophilic
sp|O30078|TTRA_ARCFU	0.99896395	Thermophilic
sp|A3DIJ8|3PASE_HUNT2	0.9959192	Thermophilic
sp|Q06851|CIPA_HUNT2	0.9965041	Thermophilic
sp|A3DDX7|DAPDH_HUNT2	0.82747126	Thermophilic
sp|P51584|XYNY_HUNTH	0.34278122	Mesophilic
sp|A3DIE5|RSGI7_HUNT2	0.8820866	Thermophilic
sp|A4ISB9|ADH2_GEOTN	0.32797688	Mesophilic
sp|A4ISV0|FLIW_GEOTN	0.5977102	Thermophilic
sp|P94346|CTAA_GEOTD	0.0152753	Mesophilic
sp|Q58576|PAN_METJA	0.9945173	Thermophilic
sp|Q58667|HACB_METJA	0.95569706	Thermophilic
sp|Q58530|KAE1B_METJA	0.95341927	Thermophilic
sp|P58415|COMD_METJA	0.98741007	Thermophilic
sp|Q57646|CG121_METJA	0.99889123	Thermophilic
sp|Q59014|BPL_METJA	0.998985	Thermophilic
sp|Q59041|HMVA_METJA	0.98824555	Thermophilic
sp|Q58261|MTRA_METJA	0.84654367	Thermophilic
sp|Q58036|HMPTM_METJA	0.99829245	Thermophilic
sp|Q58250|MFNF_METJA	0.96245813	Thermophilic
sp|Q58988|PURS_METJA	0.999969	Thermophilic
sp|Q58294|RFCL_METJA	0.99982727	Thermophilic
sp|Q59045|SALL_METJA	0.99970603	Thermophilic
sp|Q58628|PYCB_METJA	0.9988691	Thermophilic
sp|Q57976|M556_METJA	0.9989901	Thermophilic
sp|Q57764|PDAD_METJA	0.5799954	Thermophilic
sp|Q58037|MPTN_METJA	0.9973665	Thermophilic
sp|Q60362|NAH1_METJA	0.9800642	Thermophilic
sp|P81303|NOP10_METJA	0.99970555	Thermophilic
sp|Q58503|RELE3_METJA	0.9743614	Thermophilic
sp|Q57842|MANB_METJA	0.99964654	Thermophilic
sp|Q57751|RISB_METJA	0.9053074	Thermophilic
sp|Q58976|PYRB_METJA	0.98006636	Thermophilic
sp|Q57733|HSPS_METJA	0.9888572	Thermophilic
sp|Q60357|IF6_METJA	0.97956324	Thermophilic
sp|Q58337|GCH1L_METJA	0.9751576	Thermophilic
sp|Q58083|H669_METJA	0.9674048	Thermophilic
sp|Q58646|DHQS_METJA	0.9986646	Thermophilic
sp|Q57829|CS3HD_METJA	0.96917486	Thermophilic
sp|Q57600|PURP_METJA	0.9553863	Thermophilic
sp|Q60351|Y039_METJA	0.99965787	Thermophilic
sp|Q57904|Y480_METJA	0.8122855	Thermophilic
sp|Q58923|TPIS_METJA	0.99151623	Thermophilic
sp|Q58164|Y754_METJA	0.9724368	Thermophilic
sp|Q58152|Y742_METJA	0.9853382	Thermophilic
sp|Q58622|Y1225_METJA	0.99042475	Thermophilic
sp|Q58191|Y781_METJA	0.99589646	Thermophilic
sp|Q58102|Y690_METJA	0.96194303	Thermophilic
sp|Q57832|RPOL_METJA	0.99911106	Thermophilic
sp|Q58167|TMPS_METJA	0.9989028	Thermophilic
sp|Q57913|Y489_METJA	0.9906617	Thermophilic
sp|Q57565|SRP54_METJA	0.98004985	Thermophilic
sp|Q58897|RNZ_METJA	0.9983852	Thermophilic
sp|Q8TWU6|CDAT8_METKA	0.97473353	Thermophilic
sp|Q8TXY4|MER_METKA	0.82882273	Thermophilic
sp|Q8TVD2|SYS2_METKA	0.996452	Thermophilic
sp|Q49611|FWDG_METKA	0.81669855	Thermophilic
sp|Q74MZ1|SYM_NANEQ	0.99935234	Thermophilic
sp|Q74MP4|ENDA_NANEQ	0.99887156	Thermophilic
sp|Q8ZU79|SURE1_PYRAE	0.6588852	Thermophilic
sp|Q8ZWY4|NDK_PYRAE	0.9954989	Thermophilic
sp|Q9V1F9|TYW1_PYRAB	0.80728143	Thermophilic
sp|Q9V0U0|GATE_PYRAB	0.9981097	Thermophilic
sp|Q9UZK4|KAD6_PYRAB	0.99949217	Thermophilic
sp|P0CL77|DPOL_PYRAB	0.9998774	Thermophilic
sp|Q9V0G8|RS19E_PYRAB	0.9996538	Thermophilic
sp|Q9UXX8|RNABP_PYRAB	0.9776131	Thermophilic
sp|E7FI44|HYD1A_PYRFU	0.99615014	Thermophilic
sp|Q8U3K2|GAPOR_PYRFU	0.99240345	Thermophilic
sp|Q8U1S6|CMR2_PYRFU	0.99980354	Thermophilic
sp|Q51739|AOR_PYRFU	0.9838705	Thermophilic
sp|Q8U1S9|CMR4_PYRFU	0.99245614	Thermophilic
sp|Q8U1K8|SFSA_PYRFU	0.99861753	Thermophilic
sp|P81415|RADB_PYRFU	0.62322736	Thermophilic
sp|Q8U3S7|RL31_PYRFU	0.9993684	Thermophilic
sp|Q8U3Y2|GYAR_PYRFU	0.9992579	Thermophilic
sp|Q8U3T3|MOAB_PYRFU	0.9976171	Thermophilic
sp|Q8U1N8|NURA_PYRFU	0.97062445	Thermophilic
sp|Q8U2H1|REG4_PYRFU	0.9904095	Thermophilic
sp|Q8TZY2|SMC_PYRFU	0.99998474	Thermophilic
sp|Q9HH78|RL30_PYRFU	0.988787	Thermophilic
sp|Q8U1T0|CMR5_PYRFU	0.87809736	Thermophilic
sp|E7FHF1|DHNPA_PYRFU	0.9949478	Thermophilic
sp|Q8U018|RL15_PYRFU	0.8194654	Thermophilic
sp|Q8U3H1|TMBL2_PYRFU	0.9949688	Thermophilic
sp|Q8U3V0|Y355_PYRFU	0.8829528	Thermophilic
sp|Q8U217|RL21_PYRFU	0.24049306	Mesophilic
sp|Q8U4A7|VATF_PYRFU	0.95104444	Thermophilic
sp|O59580|IXTPA_PYRHO	0.99139404	Thermophilic
sp|O57839|AGMT_PYRHO	0.75724256	Thermophilic
sp|O58690|MPGP_PYRHO	0.99770916	Thermophilic
sp|O58001|RADA_PYRHO	0.94204974	Thermophilic
